,game_pair,human_attempts,origin,goal,goal_category,avg_game_length,avg_max_degree,share_backtrack_occurred,avg_game_length_stdiz,avg_max_degree_stdiz,share_backtrack_occurred_stdiz
25,14th_century->Rainbow,50,14th_century,Rainbow,Geography,7.444444444444445,80.5925925925926,0.2,0.43975578168934815,-1.182207036044664,0.4943931202580539
7,Bird->Adolf_Hitler,129,Bird,Adolf_Hitler,People,5.401869158878505,153.21495327102804,0.10077519379844961,-0.6210086060224501,0.2960030157429012,-0.5959687468467416
30,Batman->Coconut_crab,35,Batman,Coconut_crab,Science,10.181818181818182,76.18181818181819,0.42857142857142855,1.8613477283769206,-1.2719872498694973,3.0061195641244574
29,Africa->England,35,Africa,England,Geography,4.333333333333333,212.0,0.0,-1.1759280543983732,1.4925579907916708,-1.7033675181250494
27,George_W._Bush->Monkey,37,George_W._Bush,Monkey,Science,10.588235294117647,135.23529411764707,0.40540540540540543,2.0724110866435366,-0.06996846521632431,2.751552694813674
37,Antlion->Hip_hop_music,29,Antlion,Hip_hop_music,Music,6.25,213.25,0.20689655172413793,-0.18055140538004485,1.5180014292515713,0.570177969857471
14,Aircraft->Google,78,Aircraft,Google,IT,9.342857142857143,191.74285714285713,0.24358974358974358,1.425652653097978,1.080228896664372,0.973392233751807
22,Jesus->God,27,Jesus,God,Religion,2.0,59.0,0.0,-2.3876909314641637,-1.621718876700127,-1.7033675181250494
16,Computer->Fruit,65,Computer,Fruit,Everyday_life,8.344827586206897,114.03448275862068,0.2,0.9073490101137501,-0.501505696506999,0.4943931202580539
2,Jew->Telephone,30,Jew,Telephone,Design_and_Technology,6.444444444444445,244.27777777777777,0.13333333333333333,-0.07957116562456219,2.149564112800652,-0.23819375920298064
